ITEM ,CATEGORY ,SUB-CATEGORY ,CPU CODE 
CONFIG INTERFACE RTR,5,41,CONFIG                                       
FIXED INTERFACE RTR ,5,41,FIXED                                        
ROUTER CPNT         ,5,41,ROUT-C                                       
DEVICE/TERMINAL SVR ,5,71,*                                            
TERMINAL/CONSOLE SVR,5,71,CONSVR                                       
DEVICE SERVERS/CPNT ,5,71,DEVSVR                                       
REMOTE ACCESS SVR   ,5,71,RASSVR                                       
TEST EQUIPMENT      ,5,73,*                                            
CABLE TESTER        ,5,73,C-TEST                                       
NETWORK ANALYSIS DEV,5,73,NET-AN                                       
TEST EQUIPMENT CPNT ,5,73,TEST-C                                       
SECURITY PRODUCTS   ,6,* ,*                                            
NETWORK SECURITY    ,6,61,*                                            
AUTHENTICATION DEVIC,6,61,AUTH                                         
ANTI-VIRUS DEVICE   ,6,61,AVAPL                                        
CONTENT MGMT DEVICE ,6,61,C-MGMT                                       
FIREWALL DEVICE     ,6,61,FWAPL                                        
IDS DEVICES/CPNT    ,6,61,IDS                                          
NETW SECURITY CPNT  ,6,61,NS-CP                                        
SECURITY APPLIANCE  ,6,61,SECAPL                                       
VPN DEVICE          ,6,61,VPNAPL                                       
PHYSICAL SECURITY   ,6,91,*                                            
PRINTERS/OFFICE EQU ,7,* ,*                                            
PRINTERS-HOME/OFFICE,7,1,*                                            
COLOR LASER PRINTER ,7,1,C-LASR                                       
BUS CARD PR         ,7,1,CARD-P                                       
CD/DVD PRINTER      ,7,1,CDPRNT                                       
DOT MATRIX PRINTER  ,7,1,DOT                                          
INKJET PRINTER      ,7,1,INKJET                                       
LABEL PRINTER       ,7,1,LABL-P                                       
B&W LASER PRINTER   ,7,1,LASER                                        
LINE PRINTERS       ,7,1,LINE                                         
PHOTO PRNT          ,7,1,PHOTO                                        
SOLID INK PRINTERS  ,7,1,SLDINK                                       
3D PRINTERS         ,7,1,3DPRNT                                       
PLOTTERS            ,7,11,*                                            
LARGE COLOR PRINTER ,7,11,C-PLOT                                       
MULTIFUNCTION PRINTR,7,33,*                                            
COLOR LASER MULTIFUN,7,33,CL-MFP                                       
INKJET MULTIFUNCTION,7,33,INKMFP                                       
LASER MULTIFUNCTION ,7,33,LASMFP                                       
OFFICE EQUIPMENT    ,7,35,*                                            
COPY MACHINE        ,7,35,COPY                                         
FAX MACHINE         ,7,35,FAX                                          
OFFICE FURNITURE    ,7,35,FURN                                         
LAMINATOR           ,7,35,LAMNTR                                       
OFFICE ELECTRONICS  ,7,35,OFFELC                                       
CASH REGISTERS      ,7,35,REG                                          
PAPER & CD/DVD SHRED,7,35,SHRED                                        
TYPEWRITER          ,7,35,TYPE                                         
AUDIO/VIDEO DEVICES ,8,* ,*                                            
HOME STEREO/THEATER ,8,10,*                                            
A/V AMPS/FILTER/SPLT,8,10,AV-AMP                                       
HOME THEATER DISTRIB,8,10,AVDIST                                       
DIGITAL VID RECORDER,8,10,DVR                                          
AUDIO EQUALIZER     ,8,10,EQUALZ                                       
AV RECEIVERS        ,8,10,HREC                                         
HOME STEREO DEVICES ,8,10,HSDEV                                        
HOME THEATER SYSTEM ,8,10,HTSYST                                       
AUDIO MIXER         ,8,10,MIXER                                        
DIGITAL A/V DEVICES ,8,61,*                                            
DIGITAL AUDIO PLAYER,8,61,AUDPLY                                       
EBOOK READER        ,8,61,EBOOK                                        
MULTIMEDIA PLAYER   ,8,61,MULPLY                                       
DIGITAL PHOTO PLAYER,8,61,PHPLAY                                       
RADIO/CD PLAYERS    ,8,61,RAD-CD                                       
DV PLAYER/RECORDER  ,8,61,VIDPLY                                       
VOICE RECORDER      ,8,61,VOICE                                        
MUSIC DEVICES       ,8,81,*                                            
ELEC/ACOUSTIC GUITAR,8,81,GUITAR                                       
DIGITAL DRUMS       ,8,81,MUS-DR                                       
MUSIC KEYBOARD      ,8,81,MUS-KB                                       
KARAOKE MUSIC SYSTEM,8,81,MUSSYS                                       
SUPPLIES & MEDIA    ,10,* ,*                                            
PRINTER/PLOTTER SUPL,10,10,*                                            
DOT MATRIX SUPLIES  ,10,10,D-SUPL                                       
FAX/COPIER SUPL     ,10,10,F-SUPL                                       
INKJET PRINTER SUPL ,10,10,I-SUPL                                       
LASER PRINTER SUPL  ,10,10,L-SUPL                                       
LG FORMAT PRNT SUPL ,10,10,P-SUPL                                       
SOLID INK SUPL      ,10,10,SISUPL                                       
THERMAL PRINTER SUPL,10,10,T-SUPL                                       
3D PRINTER SUPPLIES ,10,10,3DSUPL                                       
OFFICE SUPPLIES     ,10,22,*                                            
CALC/TYPEWRITER SUPL,10,22,CALC-S                                       
CD SLEEVE/ENVELOPE  ,10,22,CD-ENV                                       
GEN CLEANING SUPL   ,10,22,CLEAN                                        
DISPLAY FIXTURES    ,10,22,DSPFIX                                       
FILING PRODUCT      ,10,22,FILING                                       
GENERAL PURPOSE BTTY,10,22,GP-BAT                                       
ID CARD/HOLDER/LABEL,10,22,ID-CRD                                       
LABEL/APPLICATOR    ,10,22,LABELS                                       
LAMINATING SUPL     ,10,22,LAMSUP                                       
PAPER/ENVELOPE      ,10,22,PAPER                                        
SCANNER SUPL        ,10,22,S-SUPL                                       
DECALS/STICKER      ,10,22,STICKR                                       
TRANSPARENCY        ,10,22,TRANSP                                       
WRITING SUPPLIES    ,10,22,WRITE                                        
MEDIA/CLEANING CARTR,10,30,*                                            
CLEANING CARTRIDGE  ,10,30,DRVCLN                                       
CD/DVD/MAGOPT MEDIA ,10,30,OPTMED                                       
REM CARTRIDGE MEDIA ,10,30,REMMED                                       
TAPE CART LABELS    ,10,30,TAPLBL                                       
TAPE MEDIA          ,10,30,TAPMED                                       
SERVICES/WARRANTIES ,12,* ,*                                            
HELP DESK SERVICES  ,12,1,*                                            
PHONE SUPPORT       ,12,1,PHSUPP                                       
INTERNET SUPPORT    ,12,1,WEBSUP                                       
INSTALLATION SERVICE,12,11,*                                            
HW INSTALLATION SRVS,12,11,HW-INS                                       
SW INSTALL SVCS     ,12,11,SW-INS                                       
WARRANTIES          ,12,21,*                                            
DEPLOY/SUPPORT SVCS ,12,21,DEPLOY                                       
EXTENDED WARRANTY   ,12,21,EXWARR                                       
WARRANTY RENEWAL    ,12,21,RENEW                                        
UPGRADE WARRANTY    ,12,21,UPWARR                                       
MANAGED SERVICES    ,12,31,*                                            
CLOUDBLUE SERVICES  ,12,31,CBEDM                                        
DATA CENTER VIRTUAL ,12,31,MNGDCV                                       
ENT COMMUNICATIONS  ,12,31,MNGECO                                       
HOSTED EXCHANGE     ,12,31,MNGHEX                                       
HARDWARE AS A SVC   ,12,31,MNGHWS                                       
INFRA AS A SERVICE  ,12,31,MNGIAS                                       
NOC MANAGED SERVICES,12,31,MNGNOC                                       
